year,average_kenyan_coffee_price_usd,average_foreign_coffee_price_usd,current_total_factor_productivity,annual_coffee_production,annual_coffee_exports,real_exchange_rate_percent,average_agricultural_price,total_annual_imports,total_annual_exports,real_gdp_growth_percent,gross_capital_formation_percent,population_growth_rate_percent,real_interest_rate_percent,natural_resource_endowment,price_gap_usd,price_volume_interaction,export_intensity,trend_index,yoy_growth,exchange_rate_yoy_pct,foreign_price_yoy_pct,lag1_total_exports,lag1_kenya_price,production_gap,trade_openness,credit_condition
2003,41.07,42.82,0.4361891448497772,673,920,72.8321774190409,70.81820680935,30.045450590308025,144.2050795,2.932475545709039,16.482149389193328,2.70958520384882,9.770510927118128,0.1523967603753734,1.75,37784.4,1.367,2,-39.308408452785585,-57.75451565100942,38.5312196700097,136.7499665,67.67,-247,174.25053009030805,9.770510927118128
2004,71.01,56.33,0.425102412700653,736,754,99.80715319225645,70.08080580518,32.866744773131586,144.81287,5.104299776297381,16.96249555648502,2.72077922071736,5.045257596654865,0.1511274081655248,-14.68,53541.54,1.024,3,72.89992695398102,37.037167813910976,31.550677253619796,144.2050795,41.07,-18,177.6796147731316,5.045257596654865
2005,70.07994470410112,87.09,0.4394429624080658,660,673,60.79719614793768,73.23708711291998,35.969835949778385,163.2541883,5.906666079800573,17.649684790478375,2.7392461487176294,7.609987545881699,0.1468626658307993,17.01,47163.803,1.02,4,-1.3097525642851493,-39.08533185910502,54.60678146635898,144.81287,71.01,-13,199.22402424977838,7.609987545881699
2006,76.90489087068761,87.02,0.384618192911148,826,597,63.71991322378924,82.82387749182,32.25154548154418,155.698224,6.472494300154835,18.633585404403014,2.75791743051646,-8.00986697136364,0.1438040248498771,10.115,45912.22,0.723,5,9.738800730228148,4.80732214811308,-0.08037662188541406,163.2541883,70.07994470410112,229,187.9497694815442,-8.00986697136364
2007,72.20909176249705,98.3,0.3918488919734954,652,817,49.45010690285979,85.16969191008998,31.97579751123597,172.9223418,6.8507297699878364,20.456978388908535,2.7685492262963294,4.819090788185103,0.1393387712786406,26.091,58994.828,1.253,6,-6.105982408955435,-22.39457902400588,12.96253734773616,155.698224,76.90489087068761,-165,204.89813931123598,4.819090788185103
2008,71.60814128138935,109.26,0.3769266307353973,541,608,45.33695839818418,87.53632465151,34.904541094086404,183.6165767,0.2322827448129771,19.612711422769827,2.767256335538,-0.9849969722943328,0.1352492969907414,37.652,43537.75,1.124,7,-0.8322365874428805,-8.317774747697737,11.149542217700926,172.9223418,72.20909176249705,-67,218.5211177940864,-0.9849969722943328
2009,70.62425956348275,100.8,0.3544721901416778,630,525,54.195720181169925,85.82274430315,27.17024632117917,164.5488107,3.306939816310887,19.019172424825424,2.7508537992605,-10.096003565548353,0.1362585348630096,30.176,37077.736,0.833,8,-1.3739802490339237,19.53982379051824,-7.742998352553554,183.6165767,71.60814128138935,105,191.71905702117917,-10.096003565548353
2010,139.971149964797,134.0,0.3437657356262207,641,531,82.76384596582426,100.0,30.26992770240408,178.5256741,8.058473602909059,21.26399879920948,2.7225900011839,12.526958492458023,0.1324729974869872,-5.971,74324.681,0.828,9,98.19131673724621,52.71288155070999,32.93650793650793,164.5488107,70.62425956348275,110,208.7956018024041,12.526958492458023
2011,187.1136188688101,224.26,0.3333252966403961,757,609,74.1001719602595,109.94875300643,36.852728903734615,173.3831145,5.121106119705601,21.885812275946705,2.69374364646689,4.526185832268984,0.1360380065797361,37.146,113952.194,0.804,10,33.68013259580243,-10.467945157046298,67.35820895522386,178.5256741,139.971149964797,148,210.23584340373463,4.526185832268984
2012,110.40159117578034,152.29,0.3483559489250183,875,803,61.279155134721904,91.98102958067,31.75874430036472,187.6188435,4.56867961444982,22.193362925882347,2.66280780440883,9.313511344582883,0.1349317608919547,41.888,88652.478,0.918,11,-40.99756509269078,-17.302276751008904,-32.09221439400696,173.3831145,187.1136188688101,72,219.37758780036472,9.313511344582883
2013,124.5756371743722,102.14,0.3346460163593292,843,815,105.04026350149508,86.9789999985,29.672461959564867,191.0018948,3.7978483925754034,22.404968103986164,2.61860447776138,9.293946359699536,0.1294863446379972,-22.436,101529.144,0.967,12,12.838624740493177,71.41271492820782,-32.93059294766564,187.6188435,110.40159117578034,28,220.67435675956486,9.293946359699536
